County,1991,1992,1993,1994,1995,1996,1997,1998,1999
Illinois,11542800,11613000,11697000,11752000,11830000,11847000,11896000,12045000,12128000
Adams,66400,66600,67000,67500,67600,67200,67300,67600,67200
Alexander,10600,10600,10500,10300,10300,10200,10000,10100,10100
Bond,15000,15200,15300,15200,16900,16900,17000,17300,17200
Boone,31800,32800,33700,35000,36300,37400,38100,39200,40100
Brown,5900,6200,6000,6300,6300,6600,6600,6700,6700
Bureau,35600,35700,35800,35700,35700,35300,35300,35300,35200
Calhoun,5200,5200,5100,5000,4900,4900,4900,4800,4800
Carroll,16600,16600,16600,16800,16800,16800,16800,16900,16800
Cass,13400,13300,13300,13300,13300,13200,13200,13300,13300
Champaign,174000,175400,170200,166700,166900,167400,167900,168400,169200
Christian,34300,35200,35300,35300,35500,35400,35300,35500,35400
Clark,15800,15900,16000,16100,16200,16200,16200,16400,16400
Clay,14500,14400,14300,14300,14300,14200,14200,14400,14200
Clinton,34000,34300,34800,34900,35300,35200,35200,35800,35800
Coles,51700,51900,51900,52200,51400,51100,51000,51200,51000
Cook,5136700,5138400,5146400,5141600,5141800,5115200,5104400,5145300,5157500
Crawford,19500,20600,20800,21000,21000,21000,20900,21000,20900
Cumberland,10800,10800,10900,11000,11100,11100,11100,11200,11200
DeKalb,79100,79700,80900,81800,81700,82300,83200,84900,86400
De Witt,16600,16700,16700,16900,16900,16700,16700,16800,16800
Douglas,19400,19500,19700,19700,19900,19800,19900,20100,20100
DuPage,800000,815000,831900,846600,858300,863900,874100,892200,905800
Edgar,19400,19400,19600,19700,19900,19900,19600,19600,19400
Edwards,7400,7300,7300,7100,7100,7000,6900,6900,6800
Effingham,31800,32100,32400,32600,32900,33200,33300,33700,34000
Fayette,20700,20700,20800,20800,21000,21200,21700,21800,21700
Ford,14000,14000,13900,13900,14000,14000,14000,14000,14000
Franklin,40100,40000,40100,40200,40300,40300,39800,39900,39800
Fulton,37900,38400,38300,38300,38400,38700,38500,38600,38700
Gallatin,6800,6800,6800,6700,6600,6600,6500,6500,6500
Greene,15200,15100,15400,15300,15400,15300,15300,15400,15300
Grundy,33300,33800,34300,34700,35100,35600,36100,36800,37200
Hamilton,8500,8400,8400,8400,8500,8500,8500,8600,8600
Hancock,21400,21500,21500,21300,21200,21000,20800,21000,20900
Hardin,5100,5200,5200,5100,5100,5000,4900,4900,4900
Henderson,8200,8300,8400,8300,8500,8500,8600,8600,8600
Henry,51100,51300,51000,51200,51500,51300,51000,51400,51800
Iroquois,30900,31200,31400,31300,31300,31400,31300,31400,31300
Jackson,60900,60900,61600,61200,60900,60500,60100,60300,60100
Jasper,10600,10600,10600,10600,10600,10500,10400,10500,10400
Jefferson,36900,36900,38000,38400,38700,38600,38500,38700,38900
Jersey,20800,21000,21200,21000,21300,21400,21500,21900,21900
Jo Daviess,22000,21900,22200,22200,22000,21900,21800,21800,21900
Johnson,11500,11800,11700,12100,12800,13000,13100,13600,13600
Kane,326300,332500,340800,348200,360200,369900,380700,393800,406100
Kankakee,97400,98800,100400,101100,101200,101200,101400,102300,102800
Kendall,40500,41300,42500,44100,45600,47900,49900,52300,54400
