County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Illinois,12436000,12482000,12601000,12653800,12713700,12763500,12831950,12852530,12901550,12910410
Adams,68200,67800,67700,67100,66800,66790,66960,66360,66250,66300
Alexander,9600,9500,9500,9300,9200,9330,9120,8880,8920,8500
Bond,17600,17600,17900,17900,18000,17860,17800,17920,17780,17580
Boone,42100,43600,45300,47100,48900,49320,51440,53050,53630,53480
Brown,6900,6900,6800,6800,6800,6730,6740,6620,6630,6690
Bureau,35500,35300,35400,35400,35200,35440,35540,35260,35130,34870
Calhoun,5100,5100,5100,5200,5200,5270,5270,5220,5140,5100
Carroll,16600,16400,16400,16300,16200,16030,15970,15760,15640,15560
Cass,13700,13600,13600,13800,13800,13770,13770,13800,13780,13510
Champaign,179800,179400,181900,184100,184400,186070,187400,188650,188670,190580
Christian,35400,35300,35400,35300,35500,35320,35260,35020,34880,34470
Clark,17000,17000,17000,16900,17000,17220,17200,17100,17000,16630
Clay,14500,14200,14200,14100,14000,13940,13840,13630,13570,13230
Clinton,35500,35600,35800,36000,36100,36120,36490,36280,36420,36100
Coles,53000,52400,52300,52100,51900,51860,51930,51590,51390,51180
Cook,5375600,5350200,5360000,5339100,5321600,5301120,5292290,5278050,5296240,5287960
Crawford,20400,20300,20100,20000,20000,19850,19770,19550,19460,19550
Cumberland,11300,11200,11200,11100,11100,11130,11170,11050,11050,10740
DeKalb,89300,90000,91700,93400,95000,96300,98830,100810,101510,101870
DeWitt,16800,16800,16800,16800,16800,16760,16880,16660,16620,16180
Douglas,19900,19900,20000,19900,20000,19670,19680,19450,19360,19100
DuPage,906600,911800,922000,925000,928600,932230,932990,931310,933090,932640
Edgar,19700,19500,19400,19300,19300,19170,19150,18940,18730,18420
Edwards,7000,6900,6900,6900,6800,6800,6720,6700,6640,6500
Effingham,34300,34400,34600,34700,34800,35130,35010,34700,34620,34670
Fayette,21800,21600,21700,21700,21800,22080,22170,21920,22380,22390
Ford,14200,14100,14100,14000,14100,14370,14370,14320,14170,14000
Franklin,39000,38900,39200,39300,39500,39810,39890,39520,39430,39320
Fulton,38200,37800,37500,37500,37400,37520,37460,37030,36860,36590
Gallatin,6400,6300,6200,6200,6200,6090,6110,5990,5910,5620
Greene,14700,14600,14700,14700,14600,14410,14250,13980,14050,13960
Grundy,37700,38400,39000,39800,41300,41790,43860,45140,45880,46310
Hamilton,8600,8400,8300,8200,8300,8130,8150,8000,8020,7960
Hancock,20100,19900,19700,19500,19300,19190,19100,18860,18640,18270
Hardin,4800,4800,4800,4800,4800,4790,4720,4660,4570,4540
Henderson,8200,8200,8200,8100,8100,8010,7890,7830,7730,7550
Henry,51100,50700,50600,50800,50600,50350,50190,49960,49760,49680
Iroquois,31300,30800,30700,30600,30500,30500,30400,30230,30090,29280
Jackson,59500,58700,58900,59100,59200,59130,58720,57950,57740,56920
Jasper,10100,10100,10100,10000,10000,10010,9940,9840,9820,9610
Jefferson,40000,40100,40300,40200,40300,40220,40270,40000,39840,39380
Jersey,21700,21800,22100,22200,22400,22390,22590,22500,22630,22610
Jo Daviess,22300,22400,22500,22600,22500,22280,22390,22190,22080,22000
Johnson,12900,13200,13000,13200,13200,13040,13280,13210,13020,13310
Kane,407400,426200,446400,461900,475700,488730,498640,508830,515990,523730
Kankakee,103900,104300,105200,105800,106500,107400,108920,109930,110590,110620
Kendall,55200,58300,62300,67100,72600,75590,83970,92770,99050,104400
Knox,55800,55300,55100,54500,54000,53890,53570,52870,52640,52420
Lake,648200,661100,677300,684300,694000,704090,711270,714140,717680,720820
LaSalle,111400,111700,111700,111700,112000,111950,112470,112150,112160,110960
Lawrence,15400,15200,16000,15900,15900,15880,15780,15800,15610,15410
Lee,36000,35900,35600,35500,35600,35580,35740,35760,36310,36060
Livingston,39600,39500,39200,39000,38900,38970,38780,38490,39180,38150
Logan,31200,31000,30700,30600,30600,30620,30400,30110,29970,29530
McDonough,32900,32700,32800,32600,32400,32010,31930,31790,31410,31130
McHenry,261700,270300,280000,289000,295700,307210,313940,318740,320710,323380
McLean,150800,152000,155200,156700,157700,160740,162870,164310,165210,167880
Macon,114500,113100,112300,110700,110100,109620,109170,108220,107620,107070
Macoupin,49000,48900,49000,48900,49000,48950,48760,48530,48380,47380
Madison,259100,260200,261800,262900,263800,263470,264780,264550,264720,264780
Marion,41700,41400,41200,40900,40500,40320,40390,40070,39950,39370
Marshall,13200,13000,13100,13100,13200,13150,13080,13000,12810,12670
Mason,16000,16000,16000,15900,15900,15730,15490,15300,15220,14890
Massac,15100,15000,15100,15100,15200,15300,15220,15160,15100,15050
Menard,12500,12600,12700,12800,12800,12910,12980,13100,13130,13030
Mercer,17000,17000,17100,17000,17000,17000,16940,16780,16740,16350
Monroe,27800,28500,29400,30000,30700,30920,31520,31850,32180,32770
Montgomery,30600,30400,30400,30100,30000,30230,30330,29920,30100,29600
Morgan,36600,36200,36100,36000,36000,35860,35720,35410,35230,34740
Moultrie,14300,14300,14300,14300,14300,14630,14570,14560,14570,14480
Ogle,51200,51700,52400,53100,53500,54700,55470,55600,55700,55490
Peoria,183200,181600,182400,181600,181800,181870,182280,181890,182170,184650
Perry,23100,23000,22800,22700,22700,22610,22730,22530,22390,22310
Piatt,16400,16400,16400,16600,16700,16390,16490,16450,16490,16640
Pike,17300,17100,16900,16800,16900,17050,16820,16790,16570,16220
Pope,4400,4300,4300,4300,4300,4160,4160,4150,4360,4240
Pulaski,7300,7200,7200,7000,7000,6660,6580,6450,6320,6140
Putnam,6100,6100,6200,6200,6200,6130,6090,6110,6080,6090
Randolph,33900,33900,33300,33200,33300,33100,33080,32750,33050,32810
Richland,16100,16000,16200,16000,15900,15850,15730,15550,15400,15580
Rock Island,149100,148300,148400,147500,147200,147890,147940,148080,147420,146850
St. Clair,256200,256200,258200,258700,259200,259840,261290,260550,260870,261850
Saline,26700,26300,26300,26100,26200,26230,26250,26140,25920,25670
