RegionName,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11
Cook,128700,129000,128900,128600,128400,128400,128500,128800,129000,129300,129800,130100,130100,130000,129900,130100,130300,130800,131300,131700,132100,132700,133400,133700,133600,133800,134100,134600,135000,135400,136000,136700,137200,137600,138400,139100,139900,140900,141700,142300,143200,144200,145200,146200,147200,148400,149900,151400,152600,153700,154700,155800,156900,158100,159200,160600,162300,163900,165100,166300,167700,169200,170500,171600,172600,173900,175600,177100,178500,180000,181200,182600,183800,184300,184400,185100,186600,188200,190000,191700,193400,194800,196500,198700,200900,204200,208800,212900,215000,215800,215400,214900,214900,215500,216300,216900,218000,219100,220100,221500,223500,225300,226900,228500,230300,232000,233600,235300,236900,238400,239900,241400,242900,244600,246600,248400,249800,251100,252600,253900,254900,255400,255600,255800,256200,256300,256900,257800,258300,258500,258900,258800,258200,257300,256200,255300,254600,254300,254000,253700,252700,251200,249700,247600,245200,242700,239900,236900,234800,233100,230900,228400,226500,225100,223600,222000,220300,217700,215300,213300,211700,210600,210000,209400,208300,207000,205100,203000,201600,201100,199700,197700,195600,193800,191600,189000,186900,185900,185000,183400,180700,178300,176400,174500,172300,170300,168600,167400,166400,165000,163900,163500,163600,164000,164900,165900,166200,165200,164400,164300,164600,164700,164900,165400,166900,169000,172000,174500,175900,177100,178400,179600,180400,181100,181700,182100,182400,182900,183100,183400,184700,186000,186600,187000,187100,186900,187400,188900,191000,192400,193100,193700,194800,195700,196300,196700,197000,196900,197200,198500,200200,201000,201600,202300,203100,203700,204800,205800
Du Page,161200,161000,161200,161500,162100,162700,163000,163300,163800,164500,165400,166300,167000,167500,167800,168100,168600,169000,169300,169500,170000,170600,171300,172000,172700,173400,173900,174200,174400,175100,176400,177800,179000,180100,180900,181500,181900,182300,182900,183700,184400,185200,186300,187400,188400,189100,190100,191600,193100,194500,196100,197600,199100,200400,201700,202900,204100,205300,206600,208100,209600,211300,212900,214500,216100,217800,219300,220900,222500,224300,225500,226600,228000,229800,231500,233200,234800,236400,237900,239400,241100,242700,244500,246300,247900,249200,250500,251800,253300,254500,255800,257200,258600,260100,262000,263800,265600,267500,269800,271900,273900,276100,278200,280200,282300,284800,287400,289800,292000,293800,295500,297900,300200,302200,304300,306800,309000,310700,312000,313300,314900,316200,316800,316900,317400,318500,318800,318500,318400,318900,319300,319500,319500,319300,318600,317600,316000,314100,312600,311500,309900,307700,305500,303100,301000,299300,297500,295300,293800,293200,292900,291800,289500,286900,284000,280800,277500,274600,272100,270100,268900,268300,268100,267400,265600,263800,263200,262200,259800,256800,254100,251400,248400,244700,240900,238900,238900,239400,238700,237900,237200,236100,234300,232500,231100,229800,227700,225300,223800,222300,220200,218700,218900,220800,224000,227700,229600,229600,230100,231200,231000,230800,232000,234000,235700,237200,238800,240700,242600,244200,244900,245300,246600,248000,249100,250500,252300,254000,255100,255600,255700,255900,255900,255300,254800,255000,255800,256800,257900,258700,258900,258100,257500,257700,258600,259500,260200,260800,261900,262700,263600,264400,264800,265000,266000,268300,270900,272500
Lake,170700,170400,169800,168800,167800,167100,167000,167500,168000,168600,169200,169600,169900,170400,171000,171600,171800,172200,173300,174600,175400,176200,177100,177800,178000,177900,177700,177900,178200,178700,179400,180000,180600,181200,181900,182500,182900,183000,183000,183300,184100,184500,184800,185500,186700,187800,188900,190100,191400,192500,193900,195500,197100,198700,199600,200200,201500,203300,204600,205500,206700,208300,209800,211100,212600,214500,216500,218000,218900,219800,221100,222700,224000,225200,226900,228800,230900,233100,235000,236500,238000,239300,240500,241700,242800,244100,245500,246800,247400,247900,248700,249300,249600,250400,251300,252400,254000,255800,257200,258900,260800,262600,264200,265600,266900,267900,269000,270300,272000,274000,275600,276600,277700,278500,279300,280900,282400,283300,284200,284900,285200,285200,285300,285700,286100,286200,286300,286800,287000,286900,287200,287900,287900,287100,286200,285000,283500,281900,280200,278200,275700,273200,271200,269000,266400,264300,262700,260300,257200,254500,252200,250000,248400,247600,246500,244300,241400,238000,234700,232800,231600,230700,230100,229200,229000,229400,229000,226800,224400,222700,221100,218900,217200,215400,212800,210700,209400,207300,204400,203600,204900,205100,203900,203100,201500,199500,198800,198800,197400,195700,194800,194600,194500,195200,196400,197300,197900,198400,198700,198500,197400,196100,195500,195500,196200,198200,200800,202800,204800,206900,208400,209300,210800,213200,214700,215100,215300,215300,215400,215900,217100,217900,218000,218200,218700,219400,220500,221700,222000,221800,221500,221800,222200,222400,222600,223100,223600,224000,225100,226200,227000,228000,228400,228100,228200,229300,230500,231200
Will,131900,131600,131700,132000,132500,133000,133500,133900,134300,134900,135200,135200,135900,136600,137000,137000,137300,137500,137600,137800,138200,138600,139000,139200,139300,139400,139400,139400,139400,139300,139400,139600,140000,140300,140900,141900,142700,142900,143100,143600,144300,145000,145400,145900,146700,147700,148800,150000,150900,151400,151900,152400,152600,153100,153700,154400,155100,155900,156800,157700,158500,159400,160200,160800,161600,162600,163500,164300,165100,165900,166600,167200,167900,168600,169500,170600,171400,172100,172900,174100,175400,176800,177800,178400,178900,179900,181400,182600,183300,184100,185300,186500,187300,188100,189000,190100,191100,191900,192700,193800,195500,197100,198500,199900,201400,202600,204000,205600,207500,209600,211400,213100,214900,216700,217800,218700,219500,220400,221500,222600,223500,224400,225200,225800,226100,226300,226700,226800,226800,226700,226700,226500,226300,226000,226000,225800,225200,224300,223500,222700,221600,220200,218900,217700,216500,215300,214000,212500,211300,210500,209700,208200,206700,206200,205700,203800,201300,199400,197900,196600,195600,195200,194700,194300,193900,193500,192900,192200,191400,190500,189200,187100,184700,181800,178900,177100,176900,176200,174500,173800,173500,172000,170000,169500,169700,169600,169100,168700,166900,164500,162500,161700,161700,162100,162700,163500,163600,163300,163600,164100,164300,164200,164600,166000,167800,169200,170200,170800,171400,172700,174200,175100,175600,176400,177500,178400,179300,180600,181800,182200,182300,182500,182400,181900,182100,183100,184000,183900,183300,183300,183800,184400,185100,185900,186800,188100,189400,190500,191400,191700,191500,191800,192800,193900,195200,196300,196700,197100
Kane,,,,,,,,,,,,148800,148800,148400,148000,147900,148200,148600,149000,149500,150100,150600,150900,151300,151700,152000,152200,152500,153000,153200,153300,153400,153800,154200,154700,155200,155900,157200,158700,159800,160300,161000,162000,163000,163700,164700,165600,166200,166700,167800,168900,169700,170500,171600,173100,174500,175700,176700,177700,178300,178900,179600,180300,181400,182700,183700,184300,185000,186000,187000,187900,189100,190500,191800,193100,194100,194800,195700,196800,198000,198900,199800,200700,201800,202800,203500,204300,205200,205900,206400,207000,208200,210000,211600,212900,213800,214700,215800,217200,218700,220400,221900,223200,224700,226000,227400,228900,230900,232800,234000,234800,235700,236700,238100,239500,240700,242100,243800,244800,245500,246400,247100,247800,248300,248400,248600,248800,248500,247900,247600,247600,247700,247600,247500,246800,245600,244400,243100,241500,240100,239500,239200,238400,236900,235500,234800,234200,233100,231900,230700,229600,228000,226600,225600,224200,221900,220200,218700,217500,216800,216600,215900,214700,214000,211300,207300,205100,204600,202600,200300,198600,197400,196200,194800,193100,191500,190100,188700,186800,185000,183600,181500,179000,176400,174200,172300,171200,170500,169800,169100,168300,167500,167200,167200,167300,167600,167800,168300,168800,169100,169400,170200,171100,172300,172900,173000,173800,175200,176700,178300,179500,180500,181700,182700,183600,184700,185700,186600,187500,188400,189400,189800,189400,189200,189700,190500,191200,192200,194100,196500,198200,198600,198200,198000,198300,198700,199500,200700,201500,201400,201900,203100,204200,204800,205300,206100,207500,208700
McHenry,151500,151300,151300,151500,151500,151400,151300,151300,151500,152100,152500,152600,152600,152600,152500,152200,152100,152500,152900,153100,153300,153600,153900,154300,154500,154400,154600,154900,155300,155500,155700,155700,155800,156100,156800,157100,157400,157600,157900,158400,159000,159200,160000,161400,163000,164100,165000,165900,166900,168100,169400,170600,171600,172700,173700,174600,175500,176100,177000,178300,179800,180600,181000,181300,182100,183300,184200,184900,185900,187400,188700,189400,189900,190800,191900,192800,193700,194600,195400,196600,197800,198900,199900,201100,202400,203700,205000,206700,208400,210000,211200,212200,212800,213500,214700,215900,217100,218500,220200,221900,223400,224700,226100,227900,229800,231000,231900,233400,235300,236700,237700,238800,239800,240600,241500,242600,243800,245000,245800,246200,246500,246800,246900,246700,246000,245600,245900,246300,246500,246900,247500,247700,247900,247800,247400,246600,246000,245200,244200,242400,240500,238600,236600,234400,232500,231000,229700,228000,225900,223900,221500,218800,217300,217400,217100,215500,213200,211000,209000,207300,206200,205600,205200,205600,204100,200300,197000,195800,194600,193600,192400,191100,190000,188900,187800,185500,182800,181400,180900,179500,177400,175000,172300,169900,167300,164800,162700,161500,160900,160300,159600,159100,158700,158400,158900,160400,162300,163000,162500,161300,160900,160800,160800,161100,162500,164000,165700,166900,167500,168500,170100,171700,172700,172900,173100,173800,174400,174700,175900,177600,179000,179500,179900,180800,182700,184500,185200,185100,185500,185900,185500,185000,184900,185000,185000,185400,186000,187100,188300,189700,191300,192600,193000,192700,192800,193700,195500,197200
Winnebago,,,,,,,,,,,86100,86400,86100,86000,85900,86100,86500,86700,86900,86900,86800,87200,87500,86800,85800,85200,84700,84500,85000,85500,85600,85500,85600,86100,86700,86700,86500,86400,86500,86900,87400,88000,88700,89100,89300,89700,90200,90600,90500,90300,90500,91400,92100,92100,92300,92700,93000,93300,93600,93500,93500,93500,93500,93700,94100,94500,94800,95100,95400,95700,96000,96400,96900,97400,98200,99200,100300,100900,101300,101800,102300,102300,102500,103200,103900,104200,104700,105200,105500,105700,106100,106400,106700,107600,108500,108900,109100,109800,110300,110300,110500,111000,111700,112300,112900,113600,114300,115100,116000,116700,117400,117900,118400,118900,119600,120300,121000,121700,122400,122800,122900,123100,123400,123800,124200,124700,125100,125800,126100,125800,125400,125600,126000,126500,126800,126900,127000,127000,126600,126200,126400,126600,126500,126300,125900,125100,124100,123700,123900,124300,124200,123500,122500,121800,121300,120900,120600,120000,119200,118500,117900,117500,116900,116000,115200,114500,113600,112400,111800,111600,111300,110200,108900,107800,107300,106500,105100,103900,103000,101600,100000,99000,99100,99600,99300,98000,96600,96300,96500,96200,95600,95300,95100,94500,93600,92700,92300,92000,91700,91100,90700,90700,90500,90200,90100,90400,90400,90300,90100,90100,90300,90400,90300,90100,90300,90600,90300,89400,88500,87900,87400,86700,86400,86400,86400,86400,86600,86600,86700,87100,87800,88500,89200,89900,90600,90800,91000,91300,91900,93100,94300,95000,95300,95600,96000,96800,97400,97800
Saint Clair,67300,67400,67700,68700,69600,69700,69900,70300,70300,70300,70400,70500,70500,70500,70800,70800,70300,69700,69600,69600,69700,70100,70200,70400,70700,70800,70700,70800,71100,71200,71300,71500,71700,71800,72000,72000,71900,72200,72400,72200,72100,72400,73000,73400,73600,74000,74700,75100,75300,75600,75700,75400,75600,76600,77400,77400,77500,77800,78400,79200,79900,80300,80500,80600,80900,81100,80900,81200,82000,82600,83000,83600,84100,84600,85100,85700,86200,86500,86900,87500,88200,88800,89200,89700,90100,90300,90700,91300,91600,91600,91900,92200,92300,92200,92100,92300,93200,94300,95300,96400,97600,98400,98900,99500,100100,100500,100800,101200,101500,101600,102100,102800,103400,104300,105100,105700,106300,107500,109000,109800,110200,110600,110800,110800,111100,111600,112100,112600,113000,113300,113700,114100,114000,113600,113500,113700,113800,113500,113200,113000,112900,112900,112300,111500,111300,111600,111800,111300,110500,110000,109500,108800,108500,108500,108600,108200,107500,107000,106900,107000,106700,106300,105900,106000,104400,101700,100300,100500,100400,99300,98200,97700,97500,97500,97800,97800,97900,98500,97600,95700,94600,94500,93900,92900,92100,91600,90800,90100,90000,89800,89600,89500,89300,89100,89300,89400,89300,88800,88500,88400,88100,88000,88500,88800,88800,88700,88400,87800,87500,87400,87300,87000,86700,86800,87100,87000,86900,86800,86600,86100,85600,85200,84500,84100,83900,84000,83900,84100,84300,84400,84800,85500,86200,86900,87200,87200,87500,87700,88100,89100,90300,90900,91400,92000,92700,93100,93500,93800
Champaign,,,,,,,,,,,78800,81800,84300,86000,86900,87900,88800,88900,88300,87800,87200,86200,85200,84300,83300,82000,81000,80600,80800,81400,82100,82800,83700,84800,85800,86900,88000,88700,88900,89000,89200,89300,89700,90000,90200,90200,90200,90000,90000,90500,91300,91700,92000,92100,92300,92800,93200,93700,94900,96300,97400,98100,98700,99000,99000,99200,99700,99800,99300,99200,99700,100600,101100,101500,102100,102900,104000,104900,105500,106200,107300,108100,108600,109000,109600,110200,111100,112000,113100,114300,115300,116000,116800,117600,118100,118500,118600,118900,119000,119000,119500,120500,121600,122300,123200,124300,125100,125600,126600,127500,128100,129000,129600,129700,130100,130900,131600,131900,132400,133000,133400,133500,133600,133500,133000,132200,131400,130800,130400,130300,130500,131100,131800,132600,133300,133800,134400,134800,135100,135300,135100,134900,134300,133200,131800,130900,130800,131000,131100,131100,131200,131300,131100,131000,131200,131500,131400,131000,130800,130700,130400,130300,130200,130000,130500,131000,130900,130200,130000,129900,129900,130000,130000,129900,130100,130400,130800,130900,130500,130100,129900,129800,129600,129300,129200,129000,128200,127600,127000,126400,126500,127300,128100,129000,128900,128000,126900,126500,126600,127000,126800,126200,126100,126700,126900,126600,126500,127200,128400,129200,129200,128400,127500,127100,127300,127400,127700,127700,127600,127200,127100,127400,128000,128600,129500,130000,130100,130300,130600,130800,130900,130900,130700,131100,131700,132200,132600,133400,133900,133600,133300,133300,133500,134000,134200,134000,134100,134400
Sangamon,83900,84700,85400,85900,85900,86100,86500,87000,87000,86900,87000,86900,86700,86800,87100,87200,87500,87800,87800,87800,87800,88100,88600,89200,89500,89700,89900,89900,90200,91000,91300,91300,91300,91200,91100,90900,90800,90900,91100,91100,91300,91300,91500,91800,92100,92700,93300,93500,94000,94300,94400,95100,96300,97000,97300,97600,98600,100000,101000,101500,102000,102500,103200,103900,103900,102900,102100,102500,102500,101900,101900,102400,102400,102500,102800,102900,102700,102700,102800,103100,103100,103000,103100,103500,103600,103300,103100,102700,102700,103500,104900,105800,106200,106300,106200,106000,106500,107200,107700,108100,108500,108800,108900,108900,109000,109500,109900,110300,110100,109300,108400,108000,108000,108600,108700,108400,108700,109500,110100,110500,111000,111700,112700,113500,113900,113700,113500,113600,114200,114700,114800,114700,114800,115100,115500,115700,115900,116100,116300,116100,116200,116800,117100,117000,117300,117400,117200,117000,116900,116700,117000,117300,117500,117500,117400,117100,116800,116500,116300,116000,115900,115700,115600,116000,114000,110500,108900,109500,109500,109800,110300,110800,111000,111100,110700,110500,110900,111700,111600,111400,111800,112200,112200,112100,112200,112400,112600,112800,113100,113500,113400,113000,113000,112900,112800,112500,112100,111800,111800,111900,112400,113000,113300,113700,114200,114200,114000,114100,114400,114600,114700,114800,114800,116300,118400,119000,118100,117500,117300,117400,117300,117400,117200,116800,116700,116700,116300,116000,116300,116800,117200,117700,118200,118700,119400,119900,120400,120800,121300,121400,121100,120700,120900,121400,122000,122400,122600,122700
